accumulatedFirstCnt,accumulatedSecondCnt,baseDate,firstCnt,secondCnt,sido,totalFirstCnt,totalSecondCnt
20385,0,2021-03-21 00:00:00,0,0,충청북도,20385,0
27581,0,2021-03-21 00:00:00,12,0,충청남도,27593,0
28911,0,2021-03-21 00:00:00,10,0,전라북도,28921,0
33147,0,2021-03-21 00:00:00,0,0,전라남도,33147,0
36595,0,2021-03-21 00:00:00,0,0,경상북도,36595,0
49889,0,2021-03-21 00:00:00,0,0,경상남도,49889,0
8231,0,2021-03-21 00:00:00,0,0,제주특별자치도,8231,0
676606,313,2021-03-22 00:00:00,1,280,전국,676607,593
117048,313,2021-03-22 00:00:00,0,280,서울특별시,117048,593
53630,0,2021-03-22 00:00:00,0,0,부산광역시,53630,0
37869,0,2021-03-22 00:00:00,1,0,인천광역시,37870,0
32854,0,2021-03-22 00:00:00,0,0,대구광역시,32854,0
21792,0,2021-03-22 00:00:00,0,0,대전광역시,21792,0
13721,0,2021-03-22 00:00:00,0,0,울산광역시,13721,0
27388,0,2021-03-22 00:00:00,0,0,광주광역시,27388,0
144462,0,2021-03-22 00:00:00,0,0,경기도,144462,0
1895,0,2021-03-22 00:00:00,0,0,세종특별자치시,1895,0
21185,0,2021-03-22 00:00:00,0,0,강원도,21185,0
20385,0,2021-03-22 00:00:00,0,0,충청북도,20385,0
27593,0,2021-03-22 00:00:00,0,0,충청남도,27593,0
28921,0,2021-03-22 00:00:00,0,0,전라북도,28921,0
33147,0,2021-03-22 00:00:00,0,0,전라남도,33147,0
36596,0,2021-03-22 00:00:00,0,0,경상북도,36596,0
49889,0,2021-03-22 00:00:00,0,0,경상남도,49889,0
8231,0,2021-03-22 00:00:00,0,0,제주특별자치도,8231,0
677856,593,2021-03-23 00:00:00,2704,290,전국,680560,883
116310,509,2021-03-23 00:00:00,802,255,서울특별시,117112,764
53674,0,2021-03-23 00:00:00,287,0,부산광역시,53961,0
32948,0,2021-03-23 00:00:00,166,0,대구광역시,33114,0
38172,43,2021-03-23 00:00:00,151,16,인천광역시,38323,59
21754,0,2021-03-23 00:00:00,101,0,대전광역시,21855,0
27122,0,2021-03-23 00:00:00,0,0,광주광역시,27122,0
145295,41,2021-03-23 00:00:00,592,18,경기도,145887,59
13657,0,2021-03-23 00:00:00,28,0,울산광역시,13685,0
21374,0,2021-03-23 00:00:00,98,1,강원도,21472,1
1946,0,2021-03-23 00:00:00,0,0,세종특별자치시,1946,0
20449,0,2021-03-23 00:00:00,150,0,충청북도,20599,0
27566,0,2021-03-23 00:00:00,12,0,충청남도,27578,0
28974,0,2021-03-23 00:00:00,84,0,전라북도,29058,0
33395,0,2021-03-23 00:00:00,41,0,전라남도,33436,0
36698,0,2021-03-23 00:00:00,122,0,경상북도,36820,0
49950,0,2021-03-23 00:00:00,20,0,경상남도,49970,0
8310,0,2021-03-23 00:00:00,50,0,제주특별자치도,8360,0
262,0,2021-03-23 00:00:00,0,0,기타,262,0
683461,883,2021-03-24 00:00:00,20151,615,전국,703612,1498
117581,764,2021-03-24 00:00:00,1537,519,서울특별시,119118,1283
54369,0,2021-03-24 00:00:00,2444,0,부산광역시,56813,0
39162,59,2021-03-24 00:00:00,856,56,인천광역시,40018,115
33245,0,2021-03-24 00:00:00,840,0,대구광역시,34085,0
22040,0,2021-03-24 00:00:00,399,0,대전광역시,22439,0
13692,0,2021-03-24 00:00:00,548,0,울산광역시,14240,0
27143,0,2021-03-24 00:00:00,1937,0,광주광역시,29080,0
2056,0,2021-03-24 00:00:00,71,0,세종특별자치시,2127,0
21474,1,2021-03-24 00:00:00,195,4,강원도,21669,5
20692,0,2021-03-24 00:00:00,335,0,충청북도,21027,0
146289,59,2021-03-24 00:00:00,2936,36,경기도,149225,95
27768,0,2021-03-24 00:00:00,818,0,충청남도,28586,0
29141,0,2021-03-24 00:00:00,2163,0,전라북도,31304,0
33533,0,2021-03-24 00:00:00,1981,0,전라남도,35514,0
36895,0,2021-03-24 00:00:00,728,0,경상북도,37623,0
50021,0,2021-03-24 00:00:00,2259,0,경상남도,52280,0
8360,0,2021-03-24 00:00:00,104,0,제주특별자치도,8464,0
704902,1498,2021-03-25 00:00:00,28222,1193,전국,733124,2691
119527,1283,2021-03-25 00:00:00,2722,442,서울특별시,122249,1725
56908,0,2021-03-25 00:00:00,3756,62,부산광역시,60664,62
34109,0,2021-03-25 00:00:00,1159,217,대구광역시,35268,217
40077,115,2021-03-25 00:00:00,2042,58,인천광역시,42119,173
29151,0,2021-03-25 00:00:00,1837,15,광주광역시,30988,15
14256,0,2021-03-25 00:00:00,804,0,울산광역시,15060,0
