user,ratings,date,location,help,review
Jin,1.0,"May 12, 2021",the United States,One person found this helpful,"Jin1.0 out of 5 starsToo much sugar and zero calorie - the nutrition fact should be verified.Reviewed in the United States on May 12, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  The taste is too sweet so I checked the ingredient list. Sugar is the second largest ingredient in the list yet the calorie is ZERO. I don’t think it makes sense. Overpriced and well marketed powder. The nutrition fact should be verified!!One person found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Joan Gamell,5.0,"January 9, 2021",the United States,2 people found this helpful,"Joan Gamell5.0 out of 5 starsGreat flavour!!!Reviewed in the United States on January 9, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  I love this!! I use this seasoning for a cucumber salad! (sesame oil, salt, this kimchi seasoning)2 people found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Michael Davis,2.0,"May 20, 2021",the United States,0,"Michael Davis2.0 out of 5 starsSadly Disappointed.Reviewed in the United States on May 20, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  I really REALLY wanted to like this but it seems, or at least what I received, that it doesn't have a lot of taste or flavor. I don't think what I got was out of date but there really wasn't much to it at all :(          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Piusversa,3.0,"April 6, 2021",the United States,0,"Piusversa3.0 out of 5 starsMichelada CervezaReviewed in the United States on April 6, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  Makes a great Michelada!          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Brianna Tyler,5.0,"May 20, 2021",the United States,0,"Brianna Tyler5.0 out of 5 starsSo good!Reviewed in the United States on May 20, 2021Size: 3.52 Ounce (Pack of 2)Verified Purchase  The flavor is amazing! A little goes along way! I put it on my sandwiches and salads to give it the perfect kick of heat!          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Jack K Jaroszynski,3.0,"May 1, 2021",the United States,0,"Jack K Jaroszynski3.0 out of 5 starsVery hotReviewed in the United States on May 1, 2021Size: 3.52 Ounce (Pack of 2)Verified Purchase  Hot very very hot          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Amazon Customer,5.0,"January 10, 2021",the United States,One person found this helpful,"Amazon Customer5.0 out of 5 starsVery good but hot.Reviewed in the United States on January 10, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  This seasoning has a fantastic flavor. We use it on a multitude of food. Try it and you’ll like it. But beware it is pretty spicy.One person found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Carolyn,5.0,"August 30, 2020",the United States,2 people found this helpful,"Carolyn5.0 out of 5 starsMy new seasoningReviewed in the United States on August 30, 2020Size: 3.5 Ounce (Pack of 1)Verified Purchase  The taste was delicious2 people found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Tae kim,5.0,"March 26, 2021",the United States,0,"Tae kim5.0 out of 5 starsI like this oneReviewed in the United States on March 26, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  Barry good          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Kay,5.0,"March 25, 2021",the United States,0,"Kay5.0 out of 5 starsThe Beat Spicy SeasoningReviewed in the United States on March 25, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  This is the best spicy seasoning 🤩 it fits for most of food!!! I tried with egg, noodle, pizza, chicken, and others, it has a great balance with spicy, sweet and salty. The flavor is great!!!          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
NerdChuckles,5.0,"August 14, 2020",the United States,2 people found this helpful,"NerdChuckles5.0 out of 5 starsThe bestReviewed in the United States on August 14, 2020Size: 3.5 Ounce (Pack of 1)Verified Purchase  I absolutely love this spice. I put it on more than just soups. It is just spicy enough that it adds to the dish instead of burning out your taste buds and you can taste all the additional seasonings in it.2 people found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Amazing Grace,5.0,"June 1, 2021",the United States,0,"Amazing Grace5.0 out of 5 starsMmm. KimchiReviewed in the United States on June 1, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  Great kimchi seasoning          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Amit K,3.0,"March 31, 2021",the United States,0,"Amit K3.0 out of 5 starsIt is okay, Not SpectacularReviewed in the United States on March 31, 2021Size: 3.52 Ounce (Pack of 2)Verified Purchase  It is okay, nothing spectacular. Almost no salt. Decent flavor, but have to add salt on top. There are plenty more off the shelf similar products that are better.          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
RACHEL JEON,5.0,"April 6, 2021",the United States,One person found this helpful,"RACHEL JEON5.0 out of 5 starsEXCELLENT POWDER!!Reviewed in the United States on April 6, 2021Size: 3.52 Ounce (Pack of 2)Verified Purchase  I sprinkle this powder on almost everything I eat. This powder removes the greasy feeling of food and adds freshness.I definitely want to recommend it to those who have never experienced this taste.One person found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Alicia Sobalvarro,4.0,"August 15, 2020",the United States,One person found this helpful,"Alicia Sobalvarro4.0 out of 5 starsDeliciousReviewed in the United States on August 15, 2020Size: 3.5 Ounce (Pack of 1)Verified Purchase  Absolutely delicious. I just had some of this with my ribs and it tasted great. I think this seasoning would go good with anything. The flavor tmdoes taste like Kim hi, however it is not too overwhelming and the spice is also pretty mild. I feel anyone would like the flavor.One person found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Yong park,5.0,"August 26, 2020",the United States,2 people found this helpful,"Yong park5.0 out of 5 starsWhen  you need a extra kickReviewed in the United States on August 26, 2020Size: 3.5 Ounce (Pack of 1)Verified Purchase  Great flavor, easy and quick fix when you need spice and kick to your food.You may not taste good fist but trust me you will crave it later some more.2 people found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
R.K,5.0,"April 6, 2021",the United States,One person found this helpful,"R.K5.0 out of 5 starsWill buy it againReviewed in the United States on April 6, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  Very mild but have some kick to it. Love it!One person found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Miyoung kim,5.0,"April 9, 2021",the United States,0,"Miyoung kim5.0 out of 5 starsWonderful!Reviewed in the United States on April 9, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  You must listen their stories.  How they started their food business will touch you and inspired you!I am very thankful to know about the seasoning and their life stories.          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Selena Y,4.0,"May 6, 2021",the United States,One person found this helpful,"Selena Y4.0 out of 5 starsThumbs upReviewed in the United States on May 6, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  Give my food a little kick but not too spicy.One person found this helpful          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Valerie P.,4.0,"November 23, 2020",the United States,0,"Valerie P.4.0 out of 5 starsHotter than expectedReviewed in the United States on November 23, 2020Size: 3.5 Ounce (Pack of 1)Verified Purchase  Delicious but hotter than expected. The heat somewhat over powers the other flavors.          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
Grace Curiel thayer,1.0,"March 23, 2021",the United States,0,"Grace Curiel thayer1.0 out of 5 starsToo bad you cannot return food it’s very disgustingReviewed in the United States on March 23, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  Flavor is very bad          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
kathy,5.0,"March 9, 2021",the United States,0,"kathy5.0 out of 5 starsDelicious..Reviewed in the United States on March 9, 2021Size: 3.5 Ounce (Pack of 1)Verified Purchase  Delicious on almost everything.          HelpfulReport abuseShowing 0 commentsThere was a problem loading comments right now. Please try again later."
