날짜,시간,지역,Latitude,Longitude
2021/04/28,14:02:31,[안동시청],36.568431,128.729554
2021/04/29,13:27:46,[은평구청],37.6027496,126.9292386
2021/04/30,16:35:22,[보은군청],36.4893953,127.729483
2021/04/30,15:15:06,[영동군청],36.1750235,127.7834305
2021/04/30,9:33:46,[안동시청],36.568431,128.729554
2021/04/30,8:41:23,[횡성군청],37.4917027,127.9850466
2021/05/02,13:46:17,[인제군청],38.069536,128.169734
2021/05/03,15:22:24,[노원구청],37.6541917,127.056793
2021/05/04,16:27:03,[고양시청],37.6582159,126.8320138
2021/05/04,13:44:25,[도봉구청],37.6687735,127.047071
2021/05/04,9:11:35,[김해시청],35.2286634,128.8893494
2021/05/06,19:28:11,[고양시청],37.6582159,126.8320138
2021/05/07,15:57:50,[고령군청],35.7261414,128.2629528
2021/05/07,15:42:58,[광주광역시],35.1595454,126.8526012
2021/05/07,13:41:53,[음성군청],36.940235,127.6905015
2021/05/09,11:37:10,[부여군청],36.275718,126.909789
2021/05/09,8:04:48,[고흥군청],34.6047724,127.2763219
2021/05/10,19:25:47,[부여군청],36.275718,126.909789
2021/05/10,13:45:07,[부여군청],36.275718,126.909789
2021/05/11,9:37:18,[천안시청],36.8151287,127.1138939
2021/05/13,20:52:13,[고양시청],37.6582159,126.8320138
2021/05/13,11:47:08,[부여군청],36.275718,126.909789
2021/05/14,13:46:25,[의정부시청],37.738089,127.033733
2021/05/14,11:00:37,[구례군청],35.2025,127.4627778
2021/05/14,9:17:16,[안동시청],36.568431,128.729554
2021/05/15,18:55:31,[김해시청],35.2286634,128.8893494
2021/05/15,13:53:15,[함평군청],35.065912,126.5166908
2021/05/17,19:24:53,[부천시청],37.504681,126.763618
2021/05/17,14:59:47,[노원구청],37.6541917,127.056793
2021/05/18,14:45:02,[아산시청],36.7898211,127.0025933
2021/05/18,13:40:10,[아산시청],36.7898211,127.0025933
2021/05/19,14:04:39,[함평군청],35.065912,126.5166908
2021/05/20,18:49:11,[함평군청],35.065912,126.5166908
2021/05/20,15:10:06,[아산시청],36.7898211,127.0025933
2021/05/20,13:46:40,[노원구청],37.6541917,127.056793
2021/05/21,17:33:36,[김해시청],35.2286634,128.8893494
2021/05/22,12:45:55,[고양시청],37.6582159,126.8320138
2021/05/23,17:42:35,[김해시청],35.2286634,128.8893494
2021/05/23,13:39:40,[아산시청],36.7898211,127.0025933
2021/05/24,10:55:19,[아산시청],36.7898211,127.0025933
2021/05/24,10:54:27,[아산시청],36.7898211,127.0025933
2021/05/25,15:53:54,[남동구청],37.4470653,126.7314616
2021/05/26,15:16:41,[금천구청],37.4518527,126.9020358
2021/05/26,9:11:35,[김해시청],35.2286634,128.8893494
2021/05/27,17:13:42,[김해시청],35.2286634,128.8893494
2021/05/28,20:51:52,[고양시청],37.6582159,126.8320138
2021/05/28,20:45:12,[고양시청],37.6582159,126.8320138
2021/05/28,20:33:26,[고양시청],37.6582159,126.8320138
2021/05/28,19:55:22,[함평군청],35.065912,126.5166908
2021/05/28,19:54:32,[함평군청],35.065912,126.5166908
2021/05/29,17:52:59,[음성군청],36.940235,127.6905015
2021/05/29,11:54:23,[아산시청],36.7898211,127.0025933
2021/05/29,9:12:35,[서천군청],36.0803437,126.6917943
2021/05/30,15:42:24,[고양시청],37.6582159,126.8320138
2021/05/30,15:39:59,[고양시청],37.6582159,126.8320138
2021/05/30,15:03:43,[김해시청],35.2286634,128.8893494
2021/05/30,13:06:45,[고양시청],37.6582159,126.8320138
2021/05/31,9:51:02,[포항시청],36.0191816,129.3432983
2021/06/02,14:15:14,[광주광역시],35.1595454,126.8526012
2021/06/03,15:43:51,[광주광역시],35.1595454,126.8526012
2021/06/03,10:15:43,[아산시청],36.7898211,127.0025933
2021/06/04,17:58:18,[남구청],35.1365783,129.0842468
